Descrip,category,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,Iron_mg,Calcium_mg
닭가슴살 샐러드,Weight_Loss,180,32.0,3.2,6.0,2.0,2.8,1.4,60
그린 샐러드,Weight_Loss,45,2.2,0.4,9.0,4.0,3.2,1.2,55
두부 샐러드,Weight_Loss,130,12.0,6.5,6.0,1.5,1.8,2.6,180
배추김치,Weight_Loss,18,1.5,0.2,3.0,1.2,2.0,0.6,35
콩나물국,Weight_Loss,35,3.0,1.0,3.5,0.5,1.8,1.0,20
미역국,Weight_Loss,55,4.0,1.5,6.0,0.8,1.2,1.8,70
오이냉국,Weight_Loss,30,1.2,0.5,5.5,3.0,0.9,0.5,15
삶은 계란,Weight_Loss,78,6.3,5.3,0.6,0.6,0.0,0.9,28
연두부,Weight_Loss,62,6.6,3.5,2.4,0.4,0.3,1.5,95
토마토 샐러드,Weight_Loss,40,1.2,0.3,9.0,5.5,2.0,0.6,25
고구마 찜,Weight_Loss,128,1.6,0.2,30.0,7.0,3.9,0.7,35
갑오징어 무침,Weight_Loss,90,15.0,1.0,4.0,2.0,0.5,1.8,40
닭가슴살 구이,Muscle_Gain,165,31.0,3.6,0.0,0.0,0.0,1.0,15
소고기 안심 스테이크,Muscle_Gain,250,26.0,15.0,0.0,0.0,0.0,2.6,12
연어구이,Muscle_Gain,208,24.0,12.0,0.0,0.0,0.0,0.9,12
참치회,Muscle_Gain,184,29.0,6.3,0.0,0.0,0.0,1.4,8
계란 2개 스크램블,Muscle_Gain,180,13.0,13.0,1.5,1.2,0.0,1.9,56
두부구이,Muscle_Gain,145,13.0,8.0,4.0,0.8,1.5,2.9,200
돼지 등심구이,Muscle_Gain,242,26.0,14.0,0.0,0.0,0.0,1.1,8
그릭 요거트,Muscle_Gain,120,15.0,4.0,5.0,4.5,0.0,0.1,150
병아리콩 샐러드,Muscle_Gain,165,9.0,2.5,27.0,5.0,7.5,2.9,50
우유 1잔,Muscle_Gain,125,6.5,4.5,12.0,12.0,0.0,0.0,230
소고기 불고기,Muscle_Gain,230,22.0,13.0,6.0,4.0,0.5,2.2,18
멸치볶음,Muscle_Gain,150,20.0,4.0,8.0,3.0,1.0,7.5,450
삼겹살 구이,Weight_Gain,520,17.0,48.0,2.0,0.0,0.0,1.2,10
치킨 (후라이드),Weight_Gain,480,25.0,32.0,22.0,1.0,0.8,1.5,30
떡볶이,Weight_Gain,420,9.0,8.0,78.0,25.0,3.0,1.8,60
김치볶음밥,Weight_Gain,480,12.0,14.0,76.0,6.0,3.2,2.2,70
짜장면,Weight_Gain,610,15.0,18.0,95.0,10.0,4.0,2.0,55
갈비찜,Weight_Gain,550,35.0,32.0,30.0,15.0,1.5,3.0,40
라면,Weight_Gain,500,10.0,20.0,70.0,3.0,4.0,2.5,45
탕수육,Weight_Gain,550,20.0,25.0,62.0,20.0,2.0,1.8,25
치즈 돈까스,Weight_Gain,640,28.0,30.0,65.0,8.0,3.0,2.0,180
크림 파스타,Weight_Gain,600,15.0,28.0,70.0,8.0,3.5,1.5,120
보쌈,Weight_Gain,480,28.0,38.0,8.0,4.0,1.0,1.8,15
피자 (콤비네이션),Weight_Gain,620,25.0,26.0,72.0,8.0,3.5,2.2,200
김치찌개,General_Food,180,12.0,10.0,10.0,3.0,3.0,2.0,90
된장찌개,General_Food,150,10.0,7.0,12.0,4.0,4.0,2.8,120
비빔밥,General_Food,520,16.0,12.0,88.0,10.0,8.0,3.0,110
삼계탕,General_Food,380,32.0,18.0,22.0,2.0,1.5,2.5,40
갈비탕,General_Food,420,30.0,22.0,24.0,3.0,1.0,2.8,35
냉면,General_Food,450,12.0,5.0,88.0,8.0,3.0,1.5,40
비빔국수,General_Food,480,13.0,10.0,82.0,18.0,3.5,2.0,45
잡채,General_Food,350,9.0,15.0,45.0,12.0,4.5,2.2,55
김밥,General_Food,330,8.0,8.0,55.0,5.0,2.5,1.5,45
순두부찌개,General_Food,220,14.0,12.0,12.0,3.0,2.0,3.5,180
육개장,General_Food,250,20.0,12.0,14.0,3.0,2.5,2.5,30
감자탕,General_Food,480,28.0,28.0,30.0,4.0,3.0,2.0,50
파전,General_Food,380,12.0,18.0,42.0,5.0,3.5,2.0,60
돼지국밥,General_Food,520,25.0,30.0,40.0,3.0,2.0,1.8,35
카레라이스,General_Food,550,12.0,15.0,88.0,12.0,6.0,2.5,80
오므라이스,General_Food,530,15.0,18.0,76.0,8.0,2.5,2.0,70
우동,General_Food,420,13.0,8.0,72.0,6.0,3.5,1.5,50
새우볶음밥,General_Food,480,16.0,14.0,70.0,5.0,2.5,2.2,65
